bioguide_id,last_name,first_name,type,party,state,district,gender,birthday,twitter,facebook,url
B000944,Brown,Sherrod,sen,Democrat,OH,,M,1952-11-09,SenSherrodBrown,SenatorSherrodBrown,https://www.brown.senate.gov
C000127,Cantwell,Maria,sen,Democrat,WA,,F,1958-10-13,SenatorCantwell,senatorcantwell,https://www.cantwell.senate.gov
C000141,Cardin,Benjamin,sen,Democrat,MD,,M,1943-10-05,SenatorCardin,senatorbencardin,https://www.cardin.senate.gov
C000174,Carper,Thomas,sen,Democrat,DE,,M,1947-01-23,SenatorCarper,tomcarper,https://www.carper.senate.gov/public
C001070,Casey,Robert,sen,Democrat,PA,,M,1960-04-13,SenBobCasey,SenatorBobCasey,https://www.casey.senate.gov
C001071,Corker,Bob,sen,Republican,TN,,M,1952-08-24,SenBobCorker,bobcorker,https://www.corker.senate.gov
F000062,Feinstein,Dianne,sen,Democrat,CA,,F,1933-06-22,SenFeinstein,senatorfeinstein,https://www.feinstein.senate.gov
H000338,Hatch,Orrin,sen,Republican,UT,,M,1934-03-22,SenOrrinHatch,senatororrinhatch,https://www.hatch.senate.gov
K000367,Klobuchar,Amy,sen,Democrat,MN,,F,1960-05-25,,,https://www.klobuchar.senate.gov
M001170,McCaskill,Claire,sen,Democrat,MO,,F,1953-07-24,McCaskillOffice,senatormccaskill,https://www.mccaskill.senate.gov
M000639,Menéndez,Robert,sen,Democrat,NJ,,M,1954-01-01,SenatorMenendez,senatormenendez,https://www.menendez.senate.gov
N000032,Nelson,Bill,sen,Democrat,FL,,M,1942-09-29,SenBillNelson,,https://www.billnelson.senate.gov
S000033,Sanders,Bernard,sen,Independent,VT,,M,1941-09-08,SenSanders,senatorsanders,https://www.sanders.senate.gov
S000770,Stabenow,Debbie,sen,Democrat,MI,,F,1950-04-29,SenStabenow,SenatorStabenow,https://www.stabenow.senate.gov
T000464,Tester,Jon,sen,Democrat,MT,,M,1956-08-21,SenatorTester,senatortester,https://www.tester.senate.gov
W000802,Whitehouse,Sheldon,sen,Democrat,RI,,M,1955-10-20,SenWhitehouse,SenatorWhitehouse,https://www.whitehouse.senate.gov
B001261,Barrasso,John,sen,Republican,WY,,M,1952-07-21,SenJohnBarrasso,johnbarrasso,https://www.barrasso.senate.gov
W000437,Wicker,Roger,sen,Republican,MS,,M,1951-07-05,SenatorWicker,SenatorWicker,https://www.wicker.senate.gov
A000360,Alexander,Lamar,sen,Republican,TN,,M,1940-07-03,SenAlexander,senatorlamaralexander,https://www.alexander.senate.gov/public
C000567,Cochran,Thad,sen,Republican,MS,,M,1937-12-07,SenThadCochran,,https://www.cochran.senate.gov
C001035,Collins,Susan,sen,Republican,ME,,F,1952-12-07,SenatorCollins,susancollins,https://www.collins.senate.gov
