district,year,democrat,republican,winning_party,winning_margin
AK-00,2016,37.6,52.8,R,15.2
AL-01,2016,34.1,63.5,R,29.4
AL-02,2016,33.0,64.9,R,31.9
AL-03,2016,32.3,65.3,R,33.0
AL-04,2016,17.4,80.4,R,63.0
AL-05,2016,31.3,64.7,R,33.4
AL-06,2016,26.1,70.8,R,44.7
AL-07,2016,69.8,28.6,D,41.2
AR-01,2016,30.2,65.0,R,34.8
AR-02,2016,41.7,52.4,R,10.7
AR-03,2016,30.5,61.9,R,31.4
AR-04,2016,31.3,64.2,R,32.9
AZ-01,2016,46.6,47.7,R,1.1
AZ-02,2016,49.6,44.7,D,4.9
AZ-03,2016,62.4,32.5,D,29.9
AZ-04,2016,27.5,67.7,R,40.2
AZ-05,2016,36.5,57.6,R,21.1
AZ-06,2016,42.4,52.4,R,10.0
AZ-07,2016,71.8,22.6,D,49.2
AZ-08,2016,37.0,58.1,R,21.1
AZ-09,2016,54.7,38.4,D,16.3
CA-01,2016,36.5,56.2,R,19.7
CA-02,2016,69.0,23.3,D,45.7
CA-03,2016,53.0,40.4,D,12.6
CA-04,2016,39.3,54.0,R,14.7
CA-05,2016,69.2,24.3,D,44.9
CA-06,2016,69.2,24.4,D,44.8
CA-07,2016,52.3,40.9,D,11.4
CA-08,2016,39.6,54.7,R,15.1
CA-09,2016,56.6,38.0,D,18.6
CA-10,2016,48.5,45.5,D,3.0
CA-11,2016,71.5,22.7,D,48.8
CA-12,2016,86.2,8.7,D,77.5
CA-13,2016,87.4,6.8,D,80.6
CA-14,2016,76.9,18.2,D,58.7
CA-15,2016,69.9,24.2,D,45.7
CA-16,2016,58.0,36.4,D,21.6
CA-17,2016,73.9,20.5,D,53.4
CA-18,2016,73.4,20.2,D,53.2
CA-19,2016,72.9,21.5,D,51.4
CA-20,2016,70.4,23.2,D,47.2
CA-21,2016,55.2,39.7,D,15.5
CA-22,2016,42.6,52.1,R,9.5
CA-23,2016,36.1,58.1,R,22.0
CA-24,2016,56.7,36.5,D,20.2
CA-25,2016,50.3,43.6,D,6.7
CA-26,2016,57.9,36.0,D,21.9
CA-27,2016,66.0,28.4,D,37.6
CA-28,2016,72.1,22.3,D,49.8
CA-29,2016,77.7,16.8,D,60.9
CA-30,2016,69.1,25.7,D,43.4
CA-31,2016,57.7,36.6,D,21.1
CA-32,2016,66.6,27.7,D,38.9
CA-33,2016,67.8,26.5,D,41.3
CA-34,2016,83.6,10.7,D,72.9
CA-35,2016,67.7,26.9,D,40.8
CA-36,2016,52.2,43.4,D,8.8
CA-37,2016,85.7,9.6,D,76.1
CA-38,2016,67.0,27.4,D,39.6
CA-39,2016,51.5,42.9,D,8.6
CA-40,2016,82.2,12.8,D,69.4
CA-41,2016,61.0,33.1,D,27.9
CA-42,2016,41.4,53.4,R,12.0
CA-43,2016,78.4,16.7,D,61.7
CA-44,2016,83.0,12.3,D,70.7
CA-45,2016,49.8,44.4,D,5.4
CA-46,2016,66.3,27.9,D,38.4
CA-47,2016,62.6,31.0,D,31.6
CA-48,2016,47.9,46.2,D,1.7
CA-49,2016,50.7,43.2,D,7.5
CA-50,2016,39.6,54.6,R,15.0
CA-51,2016,71.8,22.8,D,49.0
CA-52,2016,58.1,35.6,D,22.5
CA-53,2016,64.5,29.6,D,34.9
CO-01,2016,69.0,23.2,D,45.8
CO-02,2016,56.2,34.9,D,21.3
CO-03,2016,40.0,52.0,R,12.0
CO-04,2016,34.3,57.4,R,23.1
CO-05,2016,33.2,57.2,R,24.0
CO-06,2016,50.2,41.3,D,8.9
CO-07,2016,51.4,39.4,D,12.0
CT-01,2016,59.4,36.3,D,23.1
CT-02,2016,48.7,45.8,D,2.9
CT-03,2016,55.9,40.4,D,15.5
CT-04,2016,59.6,36.6,D,23.0
CT-05,2016,49.9,45.8,D,4.1
DE-00,2016,53.4,41.9,D,11.5
FL-01,2016,28.2,67.5,R,39.3
FL-02,2016,30.6,66.2,R,35.6
FL-03,2016,40.2,56.2,R,16.0
FL-04,2016,34.1,62.1,R,28.0
FL-05,2016,61.3,35.9,D,25.4
FL-06,2016,39.9,56.9,R,17.0
FL-07,2016,51.4,44.1,D,7.3
FL-08,2016,37.7,58.4,R,20.7
FL-09,2016,54.8,41.9,D,12.9
FL-10,2016,61.8,34.9,D,26.9
FL-11,2016,32.5,64.8,R,32.3
FL-12,2016,38.8,57.4,R,18.6
FL-13,2016,49.6,46.4,D,3.2
FL-14,2016,57.2,39.0,D,18.2
FL-15,2016,43.1,53.1,R,10.0
FL-16,2016,43.0,53.7,R,10.7
FL-17,2016,35.0,62.2,R,27.2
FL-18,2016,44.1,53.3,R,9.2
FL-19,2016,37.5,59.6,R,22.1
FL-20,2016,80.2,18.1,D,62.1
FL-21,2016,58.6,39.1,D,19.5
